Time	X	Y	WeightA	WeightB	Acc1X	Acc1Y	Acc1Z	Gyro1X	Gyro1Y	Gyro1Z	Mag1X	Mag1Y	Mag1Z	Yaw1	Pitch1	Roll1	Acc2X	Acc2Y	Acc2Z	Gyro2X	Gyro2Y	Gyro2Z	Mag2X	Mag2Y	Mag2Z	Yaw2	Pitch2	Roll2	
5																													
10	-3,28	0,15	0,3	0,3																									
15	-9,89	4,39	0,2	0,3																									
20	-3,79	-0,19	0,2	0,2																									
25	-9,75	1,41	0,3	0,2																									
30	-5,19	4,17	-1,0	-0,7																									
35	-11,13	-0,13	0,3	0,2																									
40	15,13	-7,00	-0,2	-0,9																									
45	-13,74	3,53	0,2	0,2																									
50	14,66	-5,13	-0,3	-0,5																									
55	-20,42	1,23	0,3	0,1																									
60	-585,97	-81,87	-0,2	0,2																									
65	3,21	-25,40	-0,1	-0,1																									
70	-3,38	2,21	0,3	0,3																									
75	-7,26	8,07	0,2	0,2																									
80	-9,16	-50,28	-1,4	-0,3																									
85	-8,33	1,86	0,3	0,3																									
90	68,82	12,86	0,2	-0,4																									
95	4,09	6,53	-0,4	-1,0																									
100	-5,99	5,20	0,2	0,3																									
105	-7,95	6,73	0,2	0,2																									
110	-9,73	4,97	0,2	0,2																									
115	-7,28	3,91	0,2	0,2																									
120	-7,44	4,04	0,2	0,2																									
125	-8,83	3,59	0,3	0,3																									
130	-5,58	3,94	0,2	0,3																									
135	-10,54	2,63	0,3	0,1																									
140	-8,75	10,13	0,1	0,2																									
145	-6,21	0,39	0,2	0,3																									
150	-12,42	9,66	0,2	0,2																									
155	-15,03	3,99	0,2	0,2																									
160	-4,73	7,63	0,1	0,2																									
165	-6,44	3,90	0,2	0,2																									
170	-6,33	0,30	0,2	0,2																									
175	-5,70	0,14	0,3	0,3																									
180	-10,50	3,60	0,2	0,2																									
185	-7,08	3,79	0,2	0,2																									
190	18,69	202,15	-0,1	-0,2																									
195	-10,55	2,76	0,3	0,3																									
200	-0,37	17,63	-0,1	-0,4																									
205	3,84	18,36	-0,5	-0,4																									
210	11,38	83,82	0,0	-0,2																									
215	-4,62	4,67	-0,7	-0,3																									
220	-1,71	15,10	-0,9	-0,5																									
225	-4,11	2,10	0,2	0,2																									
230	-4,10	6,74	0,2	0,2																									
235	-9,73	4,97	0,2	0,2																									
240	-11,96	3,69	0,4	0,3																									
245	-8,44	4,67	0,3	0,3																									
250	-8,14	6,95	0,2	0,2																									
255	-11,65	-0,70	0,2	0,2																									
260	-3,36	7,55	0,2	0,3																									
265	-8,76	4,85	0,3	0,3																									
270	333,51	361,40	0,3	-0,3																									
275	-33,10	10,44	-0,3	0,1																									
280	-0,99	3,54	-0,5	-0,4																									
285	-8,24	5,18	0,3	0,2																									
290	185,13	-56,86	0,2	-0,3																									
295	-6,59	5,41	0,2	0,3																									
300	92,87	63,21	0,0	-0,1																									
305	259,20	-332,06	0,1	-0,1																									
310	-7,50	2,36	0,2	0,2																									
315	12,47	1,63	-0,3	-0,7																									
320	12,95	73,04	0,0	-0,2																									
325	41,64	116,51	0,0	-0,2																									
330	-53,29	28,82	0,0	0,1																									
335	-9,73	4,97	0,2	0,2																									
340	-33,78	23,05	0,1	0,1																									
